Index,Topic,Sentiment Score,Source,Keywords,Subjectivity Score
0,10,0.1,CNN,"said, coronaviru, year, govern, would, countri, open, world, one, new",0.4
1,13,0.286,CNN,"said, work, say, one, also, n’t, peopl, year, show, time",0.536
2,15,0.099,CNN,"said, would, coronaviru, health, like, year, one, viru, time, also",0.332
3,11,-0.019,CNN,"peopl, said, one, say, covid-19, year, home, time, get, case",0.325
4,13,0.062,CNN,"said, work, say, one, also, n’t, peopl, year, show, time",0.314
5,12,0.011,CNN,"said, peopl, covid-19, servic, health, includ, busi, also, coronaviru, work",0.364
6,12,0.098,CNN,"said, peopl, covid-19, servic, health, includ, busi, also, coronaviru, work",0.395
7,10,0.078,CNN,"said, coronaviru, year, govern, would, countri, open, world, one, new",0.438
8,9,0.1,CNN,"said, would, time, one, canada, coronaviru, say, n’t, year, covid-19",0.15
9,9,0.149,CNN,"said, would, time, one, canada, coronaviru, say, n’t, year, covid-19",0.371
10,11,0.169,CNN,"peopl, said, one, say, covid-19, year, home, time, get, case",0.504
11,10,0.05,CNN,"said, coronaviru, year, govern, would, countri, open, world, one, new",0.497
12,9,0.147,CNN,"said, would, time, one, canada, coronaviru, say, n’t, year, covid-19",0.488
13,9,0.117,CNN,"said, would, time, one, canada, coronaviru, say, n’t, year, covid-19",0.308
14,13,0.125,CNN,"said, work, say, one, also, n’t, peopl, year, show, time",0.304
15,11,-0.052,CNN,"peopl, said, one, say, covid-19, year, home, time, get, case",0.4
16,11,0.1,CNN,"peopl, said, one, say, covid-19, year, home, time, get, case",0.308
17,11,0.194,CNN,"peopl, said, one, say, covid-19, year, home, time, get, case",0.35
18,9,0.091,CNN,"said, would, time, one, canada, coronaviru, say, n’t, year, covid-19",0.302
19,12,0.049,CNN,"said, peopl, covid-19, servic, health, includ, busi, also, coronaviru, work",0.406
20,9,0.3,CNN,"said, would, time, one, canada, coronaviru, say, n’t, year, covid-19",0.604
21,16,0.052,CNN,"said, would, peopl, coronaviru, race, also, n’t, day, one, report",0.274
22,9,0.125,CNN,"said, would, time, one, canada, coronaviru, say, n’t, year, covid-19",0.41
23,9,0.07,CNN,"said, would, time, one, canada, coronaviru, say, n’t, year, covid-19",0.395
24,9,0.043,CNN,"said, would, time, one, canada, coronaviru, say, n’t, year, covid-19",0.417
25,9,0.307,CNN,"said, would, time, one, canada, coronaviru, say, n’t, year, covid-19",0.543
26,7,0.114,CNN,"n’t, one, car, year, said, time, peopl, get, like, music",0.404
27,14,-0.204,CNN,"n’t, said, say, like, get, time, peopl, day, one, would",0.48
28,11,0.065,CNN,"peopl, said, one, say, covid-19, year, home, time, get, case",0.413
29,17,0.177,CNN,"use, said, servic, may, peopl, govern, time, inform, one, also",0.447
30,5,0.171,CNN,"said, market, canadian, canada, report, year, say, one, also, would",0.461
31,17,0.108,CNN,"use, said, servic, may, peopl, govern, time, inform, one, also",0.454
32,3,0.199,CNN,"n’t, one, get, time, said, make, like, ’re, say, use",0.551
33,10,0.287,CNN,"said, coronaviru, year, govern, would, countri, open, world, one, new",0.55
34,8,0.191,CNN,"peopl, say, n’t, time, like, said, get, work, one, make",0.482
35,3,0.179,CNN,"n’t, one, get, time, said, make, like, ’re, say, use",0.43
36,14,0.147,CNN,"n’t, said, say, like, get, time, peopl, day, one, would",0.461
37,13,0.071,CNN,"said, work, say, one, also, n’t, peopl, year, show, time",0.461
38,14,0.335,CNN,"n’t, said, say, like, get, time, peopl, day, one, would",0.614
39,13,0.176,CNN,"said, work, say, one, also, n’t, peopl, year, show, time",0.627
40,12,0.16,CNN,"said, peopl, covid-19, servic, health, includ, busi, also, coronaviru, work",0.401
41,13,0.063,CNN,"said, work, say, one, also, n’t, peopl, year, show, time",0.495
42,17,0.25,CNN,"use, said, servic, may, peopl, govern, time, inform, one, also",0.542
43,13,0.179,CNN,"said, work, say, one, also, n’t, peopl, year, show, time",0.384
44,9,0.153,CNN,"said, would, time, one, canada, coronaviru, say, n’t, year, covid-19",0.413
45,14,0.314,CNN,"n’t, said, say, like, get, time, peopl, day, one, would",0.914
46,13,0.154,CNN,"said, work, say, one, also, n’t, peopl, year, show, time",0.549
47,13,0.233,CNN,"said, work, say, one, also, n’t, peopl, year, show, time",0.408
48,2,0.311,CNN,"said, peopl, would, say, time, get, first, prine, countri, one",0.46
49,4,0.194,CNN,"peopl, said, star, one, work, n’t, news, time, reader, get",0.4
50,4,0.272,CNN,"peopl, said, star, one, work, n’t, news, time, reader, get",0.594
51,6,0.059,CNN,"said, would, season, one, player, game, play, peopl, year, also",0.382
52,10,0.148,CNN,"said, coronaviru, year, govern, would, countri, open, world, one, new",0.455
53,11,0.004,CNN,"peopl, said, one, say, covid-19, year, home, time, get, case",0.492
54,9,0.275,CNN,"said, would, time, one, canada, coronaviru, say, n’t, year, covid-19",0.436
55,3,0.203,CNN,"n’t, one, get, time, said, make, like, ’re, say, use",0.517
56,14,0.127,CNN,"n’t, said, say, like, get, time, peopl, day, one, would",0.463
57,4,0.125,CNN,"peopl, said, star, one, work, n’t, news, time, reader, get",0.431
58,13,0.165,CNN,"said, work, say, one, also, n’t, peopl, year, show, time",0.352
59,11,0.17,CNN,"peopl, said, one, say, covid-19, year, home, time, get, case",0.453
60,13,0.16,CNN,"said, work, say, one, also, n’t, peopl, year, show, time",0.32
61,13,0.176,CNN,"said, work, say, one, also, n’t, peopl, year, show, time",0.461
62,3,0.075,CNN,"n’t, one, get, time, said, make, like, ’re, say, use",0.477
63,4,0.094,CNN,"peopl, said, star, one, work, n’t, news, time, reader, get",0.43
64,3,0.232,CNN,"n’t, one, get, time, said, make, like, ’re, say, use",0.414
65,3,0.176,CNN,"n’t, one, get, time, said, make, like, ’re, say, use",0.474
66,2,0.089,CNN,"said, peopl, would, say, time, get, first, prine, countri, one",0.468
67,12,0.166,CNN,"said, peopl, covid-19, servic, health, includ, busi, also, coronaviru, work",0.432
68,1,0.134,CNN,"said, trump, coronaviru, presid, work, time, would, say, n’t, one",0.423
69,14,0.115,CNN,"n’t, said, say, like, get, time, peopl, day, one, would",0.384
70,13,0,CNN,"said, work, say, one, also, n’t, peopl, year, show, time",0.5
71,5,0,CNN,"said, market, canadian, canada, report, year, say, one, also, would",0
72,4,0.08,CNN,"peopl, said, star, one, work, n’t, news, time, reader, get",0.27
73,19,0.2,CNN,"said, coronaviru, peopl, one, que, state, countri, time, say, health",0.2
74,11,0.3,CNN,"peopl, said, one, say, covid-19, year, home, time, get, case",0.45
75,16,0,CNN,"said, would, peopl, coronaviru, race, also, n’t, day, one, report",0
76,11,-0.217,CNN,"peopl, said, one, say, covid-19, year, home, time, get, case",0.383
77,16,0.25,CNN,"said, would, peopl, coronaviru, race, also, n’t, day, one, report",0.25
78,3,0.068,CNN,"n’t, one, get, time, said, make, like, ’re, say, use",0.25
79,19,0.012,CNN,"said, coronaviru, peopl, one, que, state, countri, time, say, health",0.537
80,12,-0.342,CNN,"said, peopl, covid-19, servic, health, includ, busi, also, coronaviru, work",0.633
81,16,0.433,CNN,"said, would, peopl, coronaviru, race, also, n’t, day, one, report",0.333
82,6,0.192,CNN,"said, would, season, one, player, game, play, peopl, year, also",0.815
83,12,0.1,CNN,"said, peopl, covid-19, servic, health, includ, busi, also, coronaviru, work",1
84,12,0,CNN,"said, peopl, covid-19, servic, health, includ, busi, also, coronaviru, work",0
85,0,0,CNN,"said, test, new, use, compani, canada, coronaviru, health, servic, covid-19",0
86,16,-0.062,CNN,"said, would, peopl, coronaviru, race, also, n’t, day, one, report",0.562
87,6,0.4,CNN,"said, would, season, one, player, game, play, peopl, year, also",1
88,8,0.212,CNN,"peopl, say, n’t, time, like, said, get, work, one, make",0.485
89,5,0,CNN,"said, market, canadian, canada, report, year, say, one, also, would",0
90,1,0.167,CNN,"said, trump, coronaviru, presid, work, time, would, say, n’t, one",0.417
91,8,-0.144,CNN,"peopl, say, n’t, time, like, said, get, work, one, make",0.489
92,12,0,CNN,"said, peopl, covid-19, servic, health, includ, busi, also, coronaviru, work",0
93,9,-0.05,CNN,"said, would, time, one, canada, coronaviru, say, n’t, year, covid-19",0.75
94,1,-0.2,CNN,"said, trump, coronaviru, presid, work, time, would, say, n’t, one",0.467
95,0,0,CNN,"said, test, new, use, compani, canada, coronaviru, health, servic, covid-19",0
96,1,0.221,CNN,"said, trump, coronaviru, presid, work, time, would, say, n’t, one",0.375
97,12,0,CNN,"said, peopl, covid-19, servic, health, includ, busi, also, coronaviru, work",1
98,10,0.427,CNN,"said, coronaviru, year, govern, would, countri, open, world, one, new",0.515
99,10,0.156,CNN,"said, coronaviru, year, govern, would, countri, open, world, one, new",0.427
100,4,0.517,CNN,"peopl, said, star, one, work, n’t, news, time, reader, get",0.533
101,10,-0.042,CNN,"said, coronaviru, year, govern, would, countri, open, world, one, new",0.292
102,10,0.25,CNN,"said, coronaviru, year, govern, would, countri, open, world, one, new",0.25
103,10,0.4,CNN,"said, coronaviru, year, govern, would, countri, open, world, one, new",1
104,10,0.217,CNN,"said, coronaviru, year, govern, would, countri, open, world, one, new",0.494
105,5,0,CNN,"said, market, canadian, canada, report, year, say, one, also, would",0
106,8,0,CNN,"peopl, say, n’t, time, like, said, get, work, one, make",0
107,0,-0.062,CNN,"said, test, new, use, compani, canada, coronaviru, health, servic, covid-19",0.438
108,11,0.167,CNN,"peopl, said, one, say, covid-19, year, home, time, get, case",0.5
109,6,0.114,CNN,"said, would, season, one, player, game, play, peopl, year, also",0.323
110,7,0.15,CNN,"n’t, one, car, year, said, time, peopl, get, like, music",0.2
111,3,0.031,CNN,"n’t, one, get, time, said, make, like, ’re, say, use",0.306
112,1,0.115,CNN,"said, trump, coronaviru, presid, work, time, would, say, n’t, one",0.622
113,6,0.383,CNN,"said, would, season, one, player, game, play, peopl, year, also",0.483
114,18,0.175,CNN,"peopl, one, say, said, also, work, like, would, new, use",0.225
115,11,0.25,CNN,"peopl, said, one, say, covid-19, year, home, time, get, case",0.333
116,18,0.117,CNN,"peopl, one, say, said, also, work, like, would, new, use",0.25
117,3,0.387,CNN,"n’t, one, get, time, said, make, like, ’re, say, use",0.28
118,1,-0.2,CNN,"said, trump, coronaviru, presid, work, time, would, say, n’t, one",0.3
119,11,0.136,CNN,"peopl, said, one, say, covid-19, year, home, time, get, case",0.455
120,2,0.222,CNN,"said, peopl, would, say, time, get, first, prine, countri, one",0.407
121,18,0.2,CNN,"peopl, one, say, said, also, work, like, would, new, use",0.425
122,16,0,CNN,"said, would, peopl, coronaviru, race, also, n’t, day, one, report",0
123,13,-0.025,CNN,"said, work, say, one, also, n’t, peopl, year, show, time",0.225
124,3,0.1,CNN,"n’t, one, get, time, said, make, like, ’re, say, use",0.517
125,12,0.069,CNN,"said, peopl, covid-19, servic, health, includ, busi, also, coronaviru, work",0.372
126,9,0.089,CNN,"said, would, time, one, canada, coronaviru, say, n’t, year, covid-19",0.439
127,9,0,CNN,"said, would, time, one, canada, coronaviru, say, n’t, year, covid-19",0.276
128,9,0.063,CNN,"said, would, time, one, canada, coronaviru, say, n’t, year, covid-19",0.365
129,12,0.053,CNN,"said, peopl, covid-19, servic, health, includ, busi, also, coronaviru, work",0.391
130,19,0.094,CNN,"said, coronaviru, peopl, one, que, state, countri, time, say, health",0.353
131,1,0.074,CNN,"said, trump, coronaviru, presid, work, time, would, say, n’t, one",0.356
132,8,0.056,CNN,"peopl, say, n’t, time, like, said, get, work, one, make",0.352
133,11,0.08,CNN,"peopl, said, one, say, covid-19, year, home, time, get, case",0.397
134,11,0.166,CNN,"peopl, said, one, say, covid-19, year, home, time, get, case",0.447
135,3,0.229,CNN,"n’t, one, get, time, said, make, like, ’re, say, use",0.496
136,3,0.099,CNN,"n’t, one, get, time, said, make, like, ’re, say, use",0.423
137,7,0.135,CNN,"n’t, one, car, year, said, time, peopl, get, like, music",0.394
138,12,0.075,CNN,"said, peopl, covid-19, servic, health, includ, busi, also, coronaviru, work",0.377
139,11,0.072,CNN,"peopl, said, one, say, covid-19, year, home, time, get, case",0.396
140,3,0.074,CNN,"n’t, one, get, time, said, make, like, ’re, say, use",0.48
141,9,0.08,CNN,"said, would, time, one, canada, coronaviru, say, n’t, year, covid-19",0.329
142,3,0.073,CNN,"n’t, one, get, time, said, make, like, ’re, say, use",0.47
143,9,0.034,CNN,"said, would, time, one, canada, coronaviru, say, n’t, year, covid-19",0.314
144,11,0.12,CNN,"peopl, said, one, say, covid-19, year, home, time, get, case",0.364
145,12,0.008,CNN,"said, peopl, covid-19, servic, health, includ, busi, also, coronaviru, work",0.382
146,12,0.103,CNN,"said, peopl, covid-19, servic, health, includ, busi, also, coronaviru, work",0.462
147,12,0.081,CNN,"said, peopl, covid-19, servic, health, includ, busi, also, coronaviru, work",0.52
148,4,0.211,CNN,"peopl, said, star, one, work, n’t, news, time, reader, get",0.506
149,5,0.031,CNN,"said, market, canadian, canada, report, year, say, one, also, would",0.369
150,14,0.216,CNN,"n’t, said, say, like, get, time, peopl, day, one, would",0.461
151,10,0.024,CNN,"said, coronaviru, year, govern, would, countri, open, world, one, new",0.349
152,16,0.1,CNN,"said, would, peopl, coronaviru, race, also, n’t, day, one, report",0.333
153,10,0.071,CNN,"said, coronaviru, year, govern, would, countri, open, world, one, new",0.269
154,15,0.288,CNN,"said, would, coronaviru, health, like, year, one, viru, time, also",0.482
155,5,0.167,CNN,"said, market, canadian, canada, report, year, say, one, also, would",0.446
156,9,0.126,CNN,"said, would, time, one, canada, coronaviru, say, n’t, year, covid-19",0.458
157,9,0.147,CNN,"said, would, time, one, canada, coronaviru, say, n’t, year, covid-19",0.464
158,3,0.125,CNN,"n’t, one, get, time, said, make, like, ’re, say, use",0.428
159,3,0.157,CNN,"n’t, one, get, time, said, make, like, ’re, say, use",0.496
160,3,0.162,CNN,"n’t, one, get, time, said, make, like, ’re, say, use",0.497
161,13,0.094,CNN,"said, work, say, one, also, n’t, peopl, year, show, time",0.422
162,9,0.048,CNN,"said, would, time, one, canada, coronaviru, say, n’t, year, covid-19",0.431
163,3,0.192,CNN,"n’t, one, get, time, said, make, like, ’re, say, use",0.453
164,5,0.091,CNN,"said, market, canadian, canada, report, year, say, one, also, would",0.455
165,7,0.184,CNN,"n’t, one, car, year, said, time, peopl, get, like, music",0.467
166,16,0.261,CNN,"said, would, peopl, coronaviru, race, also, n’t, day, one, report",0.55
167,3,0.224,CNN,"n’t, one, get, time, said, make, like, ’re, say, use",0.524
168,3,0.234,CNN,"n’t, one, get, time, said, make, like, ’re, say, use",0.544
169,3,0.15,CNN,"n’t, one, get, time, said, make, like, ’re, say, use",0.529
170,12,0.236,CNN,"said, peopl, covid-19, servic, health, includ, busi, also, coronaviru, work",0.466
171,10,0.071,CNN,"said, coronaviru, year, govern, would, countri, open, world, one, new",0.59
172,14,0.084,CNN,"n’t, said, say, like, get, time, peopl, day, one, would",0.277
173,9,0.095,CNN,"said, would, time, one, canada, coronaviru, say, n’t, year, covid-19",0.47
174,9,0.165,CNN,"said, would, time, one, canada, coronaviru, say, n’t, year, covid-19",0.276
175,3,0.435,CNN,"n’t, one, get, time, said, make, like, ’re, say, use",0.61
176,6,0.309,CNN,"said, would, season, one, player, game, play, peopl, year, also",0.303
177,10,0.106,CNN,"said, coronaviru, year, govern, would, countri, open, world, one, new",0.484
178,9,0.185,CNN,"said, would, time, one, canada, coronaviru, say, n’t, year, covid-19",0.53
179,10,0.241,CNN,"said, coronaviru, year, govern, would, countri, open, world, one, new",0.565
180,11,0.035,CNN,"peopl, said, one, say, covid-19, year, home, time, get, case",0.348
181,11,0.066,CNN,"peopl, said, one, say, covid-19, year, home, time, get, case",0.542
182,3,0.092,CNN,"n’t, one, get, time, said, make, like, ’re, say, use",0.494
183,6,0.214,CNN,"said, would, season, one, player, game, play, peopl, year, also",0.355
184,9,0.113,CNN,"said, would, time, one, canada, coronaviru, say, n’t, year, covid-19",0.409
185,1,0.307,CNN,"said, trump, coronaviru, presid, work, time, would, say, n’t, one",0.439
186,16,0.176,CNN,"said, would, peopl, coronaviru, race, also, n’t, day, one, report",0.43
187,20,0.247,CNN,"said, one, time, would, may, market, also, n’t, govern, work",0.448
188,20,0.306,CNN,"said, one, time, would, may, market, also, n’t, govern, work",0.466
189,14,0.057,CNN,"n’t, said, say, like, get, time, peopl, day, one, would",0.482
190,11,0.11,CNN,"peopl, said, one, say, covid-19, year, home, time, get, case",0.429
191,8,0.04,CNN,"peopl, say, n’t, time, like, said, get, work, one, make",0.42
192,14,0.104,CNN,"n’t, said, say, like, get, time, peopl, day, one, would",0.415
193,6,0.134,CNN,"said, would, season, one, player, game, play, peopl, year, also",0.376
194,10,0.125,CNN,"said, coronaviru, year, govern, would, countri, open, world, one, new",0.32
195,6,0.169,CNN,"said, would, season, one, player, game, play, peopl, year, also",0.439
196,6,-0.011,CNN,"said, would, season, one, player, game, play, peopl, year, also",0.43
197,9,-0.031,CNN,"said, would, time, one, canada, coronaviru, say, n’t, year, covid-19",0.305
198,9,0.017,CNN,"said, would, time, one, canada, coronaviru, say, n’t, year, covid-19",0.262
199,16,0.056,CNN,"said, would, peopl, coronaviru, race, also, n’t, day, one, report",0.362
200,16,-0.012,CNN,"said, would, peopl, coronaviru, race, also, n’t, day, one, report",0.387
201,6,-0.012,CNN,"said, would, season, one, player, game, play, peopl, year, also",0.403
202,9,0.191,CNN,"said, would, time, one, canada, coronaviru, say, n’t, year, covid-19",0.484
